Title (Year),Type,Platform,Rating,Status,Physical Format,Edition,Condition,Digital Status,Notes
The Fast and the Furious (2001),Movie,Widescreen,,To Consume,DVD,Collector's Edition,Fair,Ripped,
Tristan + Isolde (2006),Movie,Fullscreen,,To Consume,DVD,Special Edition,Fair,Not Ripped,
Prometheus (2012),Movie,Widescreen,,To Consume,DVD,,Fair,Not Ripped,
My Best Friend's Wedding (1997),Movie,Widescreen,,To Consume,DVD,,Good,Not Ripped,
The Lord of the Rings: The Return of the King (2003),Movie,Widescreen,,To Consume,DVD,,Fair,Not Ripped,
Hero (2002),Movie,Widescreen,,To Consume,DVD,,Fair,Not Ripped,
Fast Five (2011),Movie,Widescreen,,To Consume,Blu-ray + DVD,Extended Edition,Fair,Not Ripped,"combo pack missing DVD"
2 Fast 2 Furious (2003),Movie,Fullscreen,,To Consume,DVD,,Fair,Not Ripped,Replace with widescreen
The Fast and the Furious: Tokyo Drift (2006),Movie,Widescreen,,To Consume,DVD,,Good,Not Ripped,
"Crouching Tiger, Hidden Dragon (2000)",Movie,Widescreen,,To Consume,DVD,,Good,Not Ripped,
Angels & Demons (2009),Movie,Widescreen,,To Consume,DVD,,Good,Not Ripped,
Across the Universe (2007),Movie,Widescreen,,To Consume,DVD,2-Disc Deluxe Edition,Fair,Not Ripped,
