Title (Year),Type,Platform,Priority,Notes
Star Wars: Episode IV - A New Hope (1977),Movie,,,Star Wars
Star Wars: Episode V - The Empire Strikes Back (1980),Movie,,,Star Wars
Star Wars: Episode VI - Return of the Jedi (1983),Movie,,,Star Wars
Star Wars: Episode I - The Phantom Menace (1999),Movie,,,Star Wars
Star Wars: Episode II - Attack of the Clones (2002),Movie,,,Star Wars
Star Wars: Episode III - Revenge of the Sith (2005),Movie,,,Star Wars
Star Wars: The Clone Wars (2008),Movie,,,Star Wars (animated theatrical film)
Star Wars: The Force Awakens (2015),Movie,,,Star Wars
Rogue One: A Star Wars Story (2016),Movie,,,Star Wars
Star Wars: The Last Jedi (2017),Movie,,,Star Wars
Solo: A Star Wars Story (2018),Movie,,,Star Wars
Star Wars: The Rise of Skywalker (2019),Movie,,,Star Wars
Alien (1979),Movie,,,Alien
Aliens (1986),Movie,,,Alien
Alien 3 (1992),Movie,,,Alien
Alien: Resurrection (1997),Movie,,,Alien
AVP: Alien vs. Predator (2004),Movie,,,Alien/Predator crossover
AVPR: Aliens vs Predator - Requiem (2007),Movie,,,Alien/Predator crossover
Alien: Covenant (2017),Movie,,,Alien
Alien: Romulus (2024),Movie,,,Alien
Fast & Furious (2009),Movie,,,Fast & Furious
Fast & Furious 6 (2013),Movie,,,Fast & Furious
Furious 7 (2015),Movie,,,Fast & Furious
The Fate of the Furious (2017),Movie,,,Fast & Furious
Fast & Furious Presents: Hobbs & Shaw (2019),Movie,,,Fast & Furious spinoff
F9 (2021),Movie,,,Fast & Furious
Fast X (2023),Movie,,,Fast & Furious
Predator (1987),Movie,,,Predator
Predator 2 (1990),Movie,,,Predator
Predators (2010),Movie,,,Predator
The Predator (2018),Movie,,,Predator
Prey (2022),Movie,,,Predator
Predator: Badlands (2025),Movie,,,Predator
Star Wars: Clone Wars - Volumes 1 & 2 (2003-2005),TV,,,"Star Wars (Tartakovsky micro-series; DVD only, no official Blu-ray)"
Star Wars: The Clone Wars - The Complete Series Ultimate Edition (2008-2020),TV,,,"Star Wars (includes 2008 movie + all 7 seasons; DVD & Blu-ray available, also 4K)"
Star Wars Rebels - Complete Series Seasons 1-4 (2014-2018),TV,,,Star Wars (DVD & Blu-ray available)
Star Wars Resistance - Complete Season One (2018),TV,,,"Star Wars (Season 1 only; DVD only, no Blu-ray or Season 2 release found)"
The Mandalorian - Complete Seasons 1-3 (2019-2023),TV,,,"Star Wars (Blu-ray available; sold as steelbook 4K+Blu-ray combo, no standalone Blu-ray-only edition found; no DVD)"
The Bad Batch - Complete Series Seasons 1-3 (2021-2024),TV,,,Star Wars (Blu-ray available; no DVD found)
Obi-Wan Kenobi - The Complete Series (2022),TV,,,"Star Wars (standalone standard Blu-ray steelbook available, separate from the 4K version; no DVD found)"
Andor - Seasons 1-2 (2022-2025),TV,,,Star Wars (DVD 6-disc box set & Blu-ray both available)
Ahsoka - The Complete Series (2023),TV,,,Star Wars (DVD 3-disc set available; Blu-ray mainly sold as steelbook 4K+Blu-ray combo)
